regio,gwb_code,code,lat,long,PC6
Burgwallen-Oude Zijde,WK036300,A00,52.37645020689656,4.899276362068965,1012AC
Burgwallen-Nieuwe Zijde,WK036301,A01,52.37966936363638,4.900766503030304,1012AA
Grachtengordel-West,WK036302,A02,52.3785492101227,4.893254572449784,1015AA
Grachtengordel-Zuid,WK036303,A03,52.36693063225807,4.894421935483872,1017AA
Nieuwmarkt/Lastage,WK036304,A04,52.37777621111112,4.905581366666666,1011AB
Haarlemmerbuurt,WK036305,A05,52.38155339703123,4.895240913893167,1013AA
Jordaan,WK036306,A06,52.379870802010444,4.887504613765571,1015DV
De Weteringschans,WK036307,A07,52.362324192309444,4.902093704768391,1017AN
Weesperbuurt/Plantage,WK036308,A08,52.36171653008846,4.913599482300885,1018AN
Oostelijke Eilanden/Kadijken,WK036309,A09,52.37330096879675,4.912345373091329,1011VX
Houthavens,WK036312,E12,52.38861944396489,4.892188920653478,1013AJ
Spaarndammer- en Zeeheldenbuurt,WK036313,E13,52.38687351324769,4.8923191280354805,1013BX
Staatsliedenbuurt,WK036314,E14,52.38497165806452,4.879418658064517,1051AA
Centrale Markt,WK036315,E15,52.38270553947369,4.8710866,1051BX
Frederik Hendrikbuurt,WK036316,E16,52.377419908619714,4.877906951950557,1015ZE
Da Costabuurt,WK036317,E17,52.37274908000001,4.87405098,1052EE
Kinkerbuurt,WK036318,E18,52.37045225,4.867488213636364,1052NL
Van Lennepbuurt,WK036319,E19,52.36617535000002,4.8676181833333345,1053CC
Helmersbuurt,WK036320,E20,52.36626781,4.877288160000001,1054AA
Overtoomse Sluis,WK036321,E21,52.3606692509091,4.864448625454545,1054DZ
Vondelbuurt,WK036322,E22,52.3622791875,4.8758267125,1054BV
Zuidas,WK036323,K23,52.34180957425163,4.867948835818872,1076AV
Oude Pijp,WK036324,K24,52.35913994693441,4.887961278245164,1072AA
Nieuwe Pijp,WK036325,K25,52.35182203181819,4.8869084863636365,1072AV
Zuid Pijp,WK036326,K26,52.35099711851853,4.894865351851852,1073AG
Weesperzijde,WK036327,M27,52.356970137500014,4.9076081,1091BP
Oosterparkbuurt,WK036328,M28,52.36125786666667,4.91512462,1091AA
Dapperbuurt,WK036329,M29,52.36178928229456,4.918845724582617,1092AD
Transvaalbuurt,WK036330,M30,52.354851868,4.919543286000001,1091KW
Indische Buurt West,WK036331,M31,52.36623961034484,4.93506374137931,1094AA
Indische Buurt Oost,WK036332,M32,52.36629634545455,4.940381609090907,1095AA
Oostelijk Havengebied,WK036333,M33,52.366941775,4.934921537500001,1019AA
IJburg West,WK036335,M35,52.36432920172415,4.981406614655178,1086VA
Sloterdijk,WK036336,E36,52.388248925,4.8470436999999995,1014AC
Landlust,WK036337,E37,52.38501400832774,4.863738452276991,1051LH
Erasmuspark,WK036338,E38,52.3768493860294,4.847131481617645,1055AB
De Kolenkit,WK036339,E39,52.37631608009377,4.84445319647697,1055AA
Geuzenbuurt,WK036340,E40,52.37498154090909,4.8627702227272716,1056BH
Westindische Buurt,WK036343,E43,52.36263995481257,4.8578316821499,1058AA
Schinkelbuurt,WK036345,K45,52.3476216,4.856850175,1075KA
Museumkwartier,WK036347,K47,52.35955442348079,4.870466878635789,1071AA
Stadionbuurt,WK036348,K48,52.34989238571428,4.860830742857143,1075KM
Apollobuurt,WK036349,K49,52.34792916666667,4.883038783333333,1077AA
IJburg Zuid,WK036351,M51,52.352712297727315,5.006955455681817,1087HN
Scheldebuurt,WK036352,K52,52.34768354482758,4.895539203448275,1078AP
IJselbuurt,WK036353,K53,52.34942255666667,4.908923906666667,1078AA
Rijnbuurt,WK036354,K54,52.34252652608696,4.8973090695652175,1079BE
Frankendael,WK036355,M55,52.35469778846153,4.927851376923076,1097AA
Middenmeer,WK036356,M56,52.35494736521739,4.9289485347826085,1098AA
Betondorp,WK036357,M57,52.34082923333333,4.928816366666666,1097EC
Omval/Overamstel,WK036358,M58,52.345062507353354,4.9153918473956235,1096AA
Prinses Irenebuurt e.o.,WK036359,K59,52.342943205405405,4.867658521621621,1076AT
Volewijck,WK036360,N60,52.391370692307696,4.912263500000001,1031AA
IJplein/Vogelbuurt,WK036361,N61,52.38421152499999,4.911751925,1021BM
Tuindorp Nieuwendam,WK036362,N62,52.391484807142845,4.9411011714285715,1023AA
Tuindorp Buiksloot,WK036363,N63,52.39468053793103,4.925409631034483,1025MB
Nieuwendammerdijk/Buiksloterdijk,WK036364,N64,52.39045707841257,4.927135768977843,1022AM
